"filename","samplecode","Community","Treatment","PC1","PC2","PC3"
"230046.II.1_S3_L001","a_t1_1","All_ancestral","5",28.2859320634493,16.7613695386729,3.90219389436449
"230046.II.12_S42_L001","f_t1_2","All_evolved","5",34.5079271214015,-7.6917188938952,1.14658491975963
"230046.II.13_S51_L001","a_t1_3","All_ancestral","5",22.4361892097796,18.3203278823296,2.87066885520914
"230046.II.18_S65_L001","f_t1_3","All_evolved","5",39.5009652879927,-12.8595534003388,2.68124025732381
"230046.II.19_S11_L001","a_t1_4","All_ancestral","5",24.8892697028354,13.3171188726024,0.55393772905325
"230046.II.24_S27_L001","f_t1_4","All_evolved","5",41.1528470749466,-13.3195505771299,3.83675943095258
"230046.II.25_S35_L001","a_t2_1","All_ancestral","50",24.8828551883204,12.6816737119276,0.778452711889528
"230046.II.30_S52_L001","f_t2_1","All_evolved","50",41.3968802193229,-15.4952646693221,3.89449719908815
"230046.II.31_S60_L001","a_t2_2","All_ancestral","50",37.5536271225611,12.1220904652679,1.29994665264321
"230046.II.36_S12_L001","f_t2_2","All_evolved","50",41.2722691635164,-13.4752800330216,5.33190996647179
"230046.II.37_S20_L001","a_t2_3","All_ancestral","50",-30.5663981625579,7.26724035459619,-7.12770858198969
"230046.II.42_S1_L001","f_t2_3","All_evolved","50",40.3621063420596,-12.4934825901072,4.68209098419249
"230046.II.43_S8_L001","a_t2_4","All_ancestral","50",8.38245913016014,13.5241926372669,0.489588324928481
"230046.II.48_S24_L001","f_t2_4","All_evolved","50",39.9118251987343,-9.50491016290262,1.24812570384553
"230046.II.49_S36_L001","a_t3_1","All_ancestral","500",25.4106194351369,10.2114975889198,-0.36107576642878
"230046.II.54_S53_L001","f_t3_1","All_evolved","500",41.6186865334,-12.3788328683643,4.3731725450784
"230046.II.55_S32_L001","a_t3_2","All_ancestral","500",-32.8459054349005,6.24486434016073,-4.34796426362173
"230046.II.6_S18_L001","f_t1_1","All_evolved","5",40.558273658234,-10.7781251451678,4.70223277469187
"230046.II.60_S2_L001","f_t3_2","All_evolved","500",40.3539795197763,-4.97953681377554,4.68068526982942
"230046.II.61_S9_L001","a_t3_3","All_ancestral","500",31.00159832166,19.0778262852814,-0.235405557967588
"230046.II.66_S49_L001","f_t3_3","All_evolved","500",39.6361912563554,-7.02405135523454,0.399197864939613
"230046.II.67_S57_L001","a_t3_4","All_ancestral","500",-18.705693173777,11.5090782572776,-5.16605439087951
"230046.II.7_S26_L001","a_t1_2","All_ancestral","5",2.12460407135867,19.9398055981348,1.59914010775725
"230046.II.72_S13_L001","f_t3_4","All_evolved","500",40.3909664183373,-7.90475035279789,0.946170535338781
"230046.II.73_S17_L001","a_t4_1","All_ancestral","0",-134.389188929026,-4.41145537668613,0.764407712370357
"230046.II.78_S33_L001","f_t4_1","All_evolved","0",16.0645110179278,-5.56788235038993,-16.2040113544037
"230046.II.79_S21_L001","a_t4_2","All_ancestral","0",-99.2451534638789,5.97545235201317,2.17948367936198
"230046.II.84_S50_L001","f_t4_2","All_evolved","0",24.5711814705045,-6.62173381632714,-27.8253020063094
"230046.II.85_S58_L001","a_t4_3","All_ancestral","0",-142.859977334128,0.349158604598015,4.99758151175961
"230046.II.90_S37_L001","f_t4_3","All_evolved","0",-145.68260408846,-21.6438239048144,-5.03337180916497
"230046.II.91_S45_L001","a_t4_4","All_ancestral","0",-159.728641469846,0.0263746617526657,6.77582167537381
"230046.II.96_S62_L001","f_t4_4","All_evolved","0",37.7577975288033,-1.17811884052633,2.16700342454235
